,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_day,market_segment_type,avg_price_per_room,booking_status
42,2,1,96,2018,4,10,Online,121.8,1
43,1,1,41,2018,6,27,Online,98.1,0
44,0,4,55,2017,11,18,Offline,60.0,1
45,0,3,146,2017,12,29,Offline,75.0,1
46,0,2,32,2017,11,20,Offline,73.0,1
47,0,1,55,2018,4,6,Offline,104.0,1
48,0,4,57,2018,11,1,Online,79.2,1
49,1,3,7,2018,12,29,Online,125.8,1
50,2,5,124,2018,5,30,Online,87.95,1
51,2,2,169,2018,4,22,Online,106.0,0
52,1,2,6,2018,5,16,Online,136.67,1
53,0,4,51,2017,11,11,Offline,60.0,1
54,1,0,13,2018,6,13,Online,89.0,1
55,1,3,100,2018,5,19,Online,136.0,1
56,0,1,139,2018,7,28,Online,94.5,1
57,1,2,117,2018,12,26,Online,93.6,1
58,1,4,39,2018,4,20,Online,120.6,0
59,0,3,86,2018,4,6,Online,99.3,1
60,0,1,2,2018,9,2,Online,258.0,1
61,0,3,19,2018,5,3,Online,120.12,1
62,0,2,192,2018,6,24,Offline,95.0,1
63,0,1,2,2017,9,10,Complementary,0.0,1
64,2,1,86,2018,12,18,Offline,75.0,1
65,0,3,30,2018,10,5,Online,157.5,1
66,0,2,179,2018,6,3,Online,97.7,1
67,0,2,26,2018,4,15,Online,142.0,0
68,0,1,55,2018,4,6,Offline,80.0,1
69,1,2,74,2018,4,25,Online,85.5,1
70,0,3,143,2018,8,25,Offline,100.0,1
71,1,0,34,2018,11,14,Online,88.0,1
72,1,1,30,2018,8,29,Online,122.85,1
73,0,2,177,2018,6,3,Online,100.0,0
74,2,3,34,2017,10,25,Offline,75.0,1
75,1,4,18,2018,3,9,Online,116.8,1
76,1,1,267,2018,12,31,Online,121.5,1
77,1,2,64,2018,6,27,Online,111.9,1
78,2,5,155,2018,6,28,Online,121.55,0
79,0,5,46,2018,3,29,Offline,75.0,1
80,0,2,83,2018,4,1,Online,159.3,0
81,0,5,128,2018,10,11,Online,132.3,0
82,2,0,20,2018,12,25,Online,88.0,1
83,1,4,40,2018,3,14,Online,98.82,1
84,1,2,46,2018,3,4,Online,98.3,1
85,1,0,1,2018,10,17,Online,150.0,1
86,2,3,196,2018,9,4,Online,96.05,1
87,0,2,188,2018,6,15,Online,130.0,0
88,0,1,17,2018,12,10,Online,95.0,1
89,0,3,146,2018,8,9,Offline,113.56,1
90,1,3,110,2018,5,5,Online,101.58,1
91,1,2,68,2018,3,18,Online,105.3,1
92,2,1,73,2018,4,9,Online,115.8,1
93,0,1,92,2018,5,19,Online,149.4,1
94,2,5,171,2018,8,30,Online,111.59,0
95,0,2,134,2018,8,4,Online,130.5,1
96,0,2,320,2018,8,18,Online,115.0,0
97,0,4,118,2018,4,13,Online,90.95,1
98,0,3,30,2018,11,17,Online,76.08,1
99,1,3,30,2018,12,22,Online,156.9,1
100,1,0,189,2018,10,23,Online,85.5,1
101,1,2,55,2018,5,13,Online,159.3,1
102,0,4,55,2018,12,13,Online,74.8,1
103,0,1,16,2017,10,31,Online,95.0,1
104,0,3,24,2017,10,8,Online,107.0,1
105,0,3,8,2018,2,16,Offline,64.0,1
106,1,4,10,2017,11,2,Online,82.95,1
107,1,3,0,2017,9,21,Online,155.0,1
108,0,1,12,2018,6,30,Online,101.68,1
109,2,1,32,2017,9,5,Online,94.5,1
110,0,2,182,2018,9,30,Online,117.9,0
111,1,0,1,2018,6,27,Online,127.0,1
112,0,3,122,2018,6,16,Online,116.1,1
113,2,3,40,2018,6,30,Online,117.9,1
114,2,2,116,2018,6,26,Online,184.24,0
115,2,2,123,2018,8,13,Online,155.7,1
116,2,5,40,2018,4,22,Online,135.76,0
117,2,5,105,2018,11,12,Online,102.83,1
118,0,1,443,2018,4,29,Online,65.0,0
119,2,3,2,2017,11,14,Online,103.0,1
120,0,3,317,2018,9,1,Online,106.2,0
121,0,2,286,2018,9,16,Offline,58.5,1
122,1,3,68,2018,3,10,Online,73.95,0
123,0,3,148,2018,5,5,Online,105.3,1
124,2,0,68,2018,4,24,Online,133.2,1
125,0,2,30,2018,3,30,Offline,85.5,1
126,0,1,14,2018,11,3,Online,112.0,0
127,0,2,110,2018,10,14,Online,190.8,0
128,2,3,117,2018,6,5,Offline,110.0,1
129,1,4,85,2018,7,13,Online,91.48,1
130,0,2,1,2018,10,20,Online,135.0,1
131,1,2,25,2018,10,17,Online,129.0,1
132,2,4,289,2018,12,28,Online,70.55,0
133,1,4,28,2017,10,19,Offline,75.0,1
134,0,4,80,2018,3,29,Online,72.25,1
135,0,1,11,2017,10,9,Online,155.0,1
136,1,0,162,2018,7,25,Online,121.5,0
137,2,5,155,2018,6,28,Online,90.95,1
138,2,2,82,2018,5,22,Online,109.65,1
139,2,4,27,2018,4,15,Online,142.72,0
140,1,2,13,2018,5,9,Offline,90.0,1
141,0,2,245,2018,6,17,Online,75.0,0
142,0,2,11,2018,11,18,Online,111.0,0
143,2,2,266,2018,10,30,Online,86.7,1
144,1,0,39,2018,3,28,Online,117.9,1
145,0,2,13,2018,6,1,Complementary,0.0,1
146,0,4,112,2018,5,4,Online,101.58,1
147,1,2,88,2018,4,8,Online,58.9,1
148,0,1,56,2018,6,8,Offline,120.0,1
149,2,3,73,2018,4,7,Online,107.1,0
150,1,1,80,2018,5,2,Online,126.9,1
151,0,3,130,2018,9,29,Online,139.5,0
152,1,3,69,2018,4,4,Online,80.75,1
153,0,2,273,2017,7,17,Online,109.0,0
154,0,1,55,2018,4,6,Offline,104.0,1
155,0,3,4,2018,11,1,Corporate,65.0,1
156,0,3,97,2018,5,24,Online,140.4,1
157,0,3,44,2018,2,17,Offline,75.0,1
158,0,1,31,2018,4,14,Online,94.5,0
159,1,0,0,2018,6,5,Online,109.0,1
160,2,2,62,2018,11,12,Online,105.0,1
161,2,2,86,2018,4,17,Online,107.95,1
162,2,2,3,2018,10,7,Online,215.6,1
163,1,1,197,2018,8,1,Online,85.5,1
164,0,2,143,2018,7,12,Online,105.3,1
165,2,1,23,2018,1,2,Online,1.0,1
166,0,2,8,2018,6,15,Online,156.0,0
167,0,2,13,2018,11,16,Online,73.15,1
168,1,2,280,2018,9,19,Online,110.0,0
169,1,0,11,2017,9,13,Online,87.4,1
170,0,2,317,2018,9,15,Online,120.0,0
171,1,2,185,2018,12,16,Online,79.2,0
172,1,3,160,2018,6,30,Online,90.95,1
173,0,4,104,2018,10,18,Online,91.48,1
174,0,1,11,2018,11,5,Online,150.0,0
175,0,1,2,2018,3,22,Online,89.0,1
176,1,4,14,2018,8,17,Online,91.43,1
177,0,2,22,2018,5,20,Offline,140.0,1
178,2,5,37,2017,10,24,Online,87.78,1
179,0,2,292,2018,7,21,Online,115.0,0
180,0,3,11,2017,9,9,Online,80.85,1
181,1,3,86,2018,3,31,Online,82.45,1
182,0,1,109,2018,10,11,Online,108.0,0
183,1,1,72,2018,4,2,Online,96.3,1
184,1,5,196,2018,8,22,Online,99.45,0
185,0,2,56,2018,5,13,Online,140.4,1
186,1,3,189,2018,8,8,Offline,72.25,1
187,1,4,126,2018,8,15,Online,126.0,1
188,2,3,303,2018,8,19,Online,78.0,0
189,2,2,81,2018,11,6,Online,146.6,1
190,1,2,54,2018,10,10,Online,118.8,0
191,0,1,15,2018,10,6,Online,145.0,0
192,0,4,86,2018,4,6,Online,84.58,0
193,1,2,161,2018,3,25,Online,130.0,0
194,4,10,147,2018,8,3,Online,118.88,0
195,1,2,92,2018,5,30,Offline,101.52,1
196,0,1,87,2017,9,11,Corporate,100.0,0
197,2,1,109,2018,3,20,Offline,58.0,1
198,0,4,127,2018,3,23,Offline,61.5,1
199,1,2,418,2018,9,26,Online,107.0,0
200,1,4,156,2018,8,24,Online,87.3,1
201,0,2,80,2017,7,16,Online,76.5,0
202,2,2,211,2018,12,16,Online,63.75,0
203,1,2,273,2018,5,13,Online,95.0,0
204,2,1,58,2018,11,19,Offline,75.0,1
205,0,3,433,2018,9,8,Online,70.0,0
206,1,3,111,2018,5,2,Online,101.58,1
207,2,3,34,2018,8,21,Offline,85.0,1
208,2,4,17,2018,12,3,Online,98.39,1
209,0,0,4,2018,2,27,Complementary,0.0,1
210,0,3,6,2017,9,22,Online,106.07,1
211,1,1,32,2018,7,18,Offline,105.0,1
212,0,1,4,2017,9,22,Online,145.0,1
213,2,1,195,2018,8,13,Online,106.03,0
214,2,2,119,2018,8,13,Online,114.3,1
215,1,1,13,2018,12,5,Online,88.0,1
216,0,2,59,2017,10,15,Online,89.25,1
217,2,5,78,2018,3,20,Online,86.32,1
218,0,3,335,2018,10,13,Offline,90.0,1
219,2,5,103,2017,8,22,Online,55.96,1
220,0,2,0,2018,6,8,Online,109.0,1
221,0,1,118,2018,3,1,Offline,86.0,1
222,1,5,56,2018,9,5,Online,118.95,1
223,0,2,107,2018,6,10,Offline,130.0,1
224,1,3,70,2018,4,14,Online,90.56,1
225,0,2,76,2018,4,1,Online,87.3,1
226,2,2,144,2018,5,27,Online,177.65,0
227,2,2,4,2017,9,19,Online,200.75,1
228,0,2,15,2018,3,18,Online,127.0,1
229,1,2,32,2018,2,5,Online,72.9,0
230,1,1,49,2018,5,7,Online,159.3,0
231,1,3,77,2018,5,12,Online,135.15,1
232,0,2,22,2018,10,28,Offline,90.0,1
233,1,0,0,2017,10,18,Online,114.0,1
234,0,1,58,2018,6,21,Online,125.1,1
235,2,6,4,2017,8,14,Online,95.13,1
236,0,2,117,2018,4,29,Online,105.84,0
237,1,3,36,2018,12,26,Online,102.0,0
238,2,2,35,2018,12,2,Online,74.8,1
239,1,0,31,2018,4,24,Online,94.5,0
240,2,4,79,2018,6,16,Online,120.6,1
241,1,2,1,2017,10,9,Online,139.33,1
242,0,2,21,2017,9,3,Online,105.0,1
243,0,2,12,2018,9,14,Corporate,100.0,1
244,1,0,33,2018,2,8,Online,80.3,1
245,0,2,164,2017,10,2,Offline,100.0,1
246,0,3,78,2018,3,24,Online,105.3,1
247,0,4,18,2018,5,31,Online,112.8,0
248,1,2,21,2018,8,15,Online,151.0,0
249,1,3,0,2017,11,9,Online,91.0,1
250,2,1,152,2018,8,13,Online,146.7,0
251,2,3,43,2017,10,2,Offline,58.4,1
252,0,4,177,2018,7,26,Online,80.75,0
253,1,1,47,2018,5,21,Offline,76.5,1
254,0,3,57,2018,9,7,Online,140.13,1
255,2,4,60,2017,11,15,Online,76.0,1
256,0,1,0,2017,9,16,Online,200.0,1
257,0,2,102,2017,10,16,Online,101.5,0
258,0,3,71,2018,10,18,Online,108.0,1
259,2,3,111,2018,7,23,Online,189.0,1
260,1,1,1,2018,6,11,Online,166.0,1
261,1,1,4,2018,1,16,Online,67.5,1
262,1,3,25,2017,9,14,Online,78.54,1
263,2,2,209,2018,11,6,Online,152.1,0
264,2,1,93,2018,10,15,Online,115.0,0
265,2,5,53,2017,9,2,Online,66.53,1
266,0,2,1,2017,8,12,Complementary,0.0,1
267,2,1,4,2017,8,23,Complementary,0.0,1
268,0,3,302,2018,12,29,Online,90.3,0
269,0,2,122,2018,4,15,Offline,85.0,1
270,0,1,16,2018,3,11,Corporate,75.0,1
271,2,4,28,2018,8,28,Online,115.37,0
272,1,2,161,2018,3,25,Online,130.0,0
273,0,2,57,2018,12,9,Online,126.0,1
274,1,0,19,2018,6,12,Online,94.35,1
275,2,4,109,2018,7,6,Online,118.46,1
276,0,2,239,2018,6,15,Online,90.6,0
277,2,1,33,2018,3,5,Online,82.9,1
278,0,3,11,2017,8,18,Online,95.33,1
279,2,5,40,2018,4,21,Online,135.64,1
280,1,1,45,2018,6,18,Offline,122.4,1
281,1,3,41,2018,5,9,Online,116.1,0
282,0,4,167,2018,6,28,Online,62.18,0
283,0,4,62,2018,3,9,Online,63.75,0
284,1,4,113,2018,9,7,Online,118.8,0
285,0,2,1,2018,8,10,Online,167.0,1
286,2,2,84,2018,5,13,Online,187.85,1
287,2,2,68,2018,4,24,Online,108.38,0
288,0,1,9,2018,9,7,Complementary,0.0,1
289,1,2,245,2018,10,28,Online,128.7,0
290,1,3,80,2018,3,17,Online,80.33,1
291,1,1,7,2018,8,22,Online,140.0,0
292,1,1,128,2017,8,8,Online,76.5,1
293,2,1,100,2018,5,1,Online,105.3,1
294,2,1,118,2018,4,3,Online,87.3,0
295,0,3,166,2018,11,1,Online,110.0,0
296,0,1,41,2017,9,4,Offline,83.0,1
297,2,2,174,2018,8,13,Online,99.45,1
298,2,1,27,2017,12,27,Offline,104.5,1
299,2,6,2,2018,11,16,Online,92.54,1
300,0,3,37,2018,10,13,Offline,95.0,1
301,0,2,188,2018,6,15,Online,130.0,0
302,2,1,68,2018,1,2,Offline,63.0,1
303,1,2,189,2018,10,28,Online,109.8,0
304,1,0,10,2018,5,16,Online,103.0,1
305,2,1,19,2018,2,20,Online,130.0,1
306,0,2,61,2018,3,23,Online,117.0,0
307,0,4,95,2017,12,29,Offline,60.5,1
308,0,1,83,2017,9,30,Offline,112.2,1
309,1,3,37,2018,8,1,Online,135.9,0
310,1,0,19,2018,7,25,Online,151.0,0
311,0,2,22,2018,9,16,Online,239.0,1
312,2,1,22,2017,12,26,Online,59.09,1
313,2,5,151,2018,7,9,Online,103.09,0
314,2,1,26,2018,2,28,Offline,87.0,1
315,1,0,27,2018,4,17,Online,137.0,0
316,0,2,79,2018,6,24,Offline,109.0,1
317,1,1,247,2018,6,6,Online,115.0,0
318,2,3,189,2018,7,17,Online,99.45,1
319,0,2,320,2018,8,18,Online,115.0,0
320,1,2,27,2018,2,22,Online,130.0,1
321,1,0,51,2018,5,22,Corporate,65.0,1
322,0,2,245,2018,6,17,Online,75.0,0
323,1,2,52,2018,7,8,Online,132.9,0
324,2,0,13,2017,10,18,Online,120.0,1
325,0,2,46,2018,11,11,Online,79.2,0
326,2,1,84,2018,8,28,Online,159.3,0
327,0,2,188,2018,6,15,Online,130.0,0
328,0,3,19,2017,10,6,Offline,90.0,1
329,0,2,67,2018,5,27,Online,140.4,1
330,0,1,0,2017,8,11,Online,75.0,1
331,0,2,273,2017,7,17,Online,109.0,0
332,2,1,110,2017,7,25,Online,94.5,0
333,0,1,0,2017,12,15,Corporate,75.0,1
334,1,2,32,2017,10,23,Offline,75.0,1
335,2,1,282,2017,10,10,Offline,76.67,1
336,2,2,38,2018,10,2,Online,126.0,1
337,1,1,175,2018,7,23,Online,85.5,1
338,0,3,143,2018,8,18,Online,140.7,0
339,2,2,127,2018,6,26,Online,103.7,1
340,0,1,0,2017,9,8,Online,142.0,1
341,2,5,95,2018,12,21,Online,103.7,1
342,1,2,118,2018,6,6,Offline,110.0,1
343,0,3,45,2018,11,10,Offline,75.0,1
344,1,1,69,2018,7,25,Online,137.7,1
345,0,1,57,2018,9,7,Online,87.3,1
346,0,2,5,2018,8,24,Complementary,0.0,1
347,0,2,39,2017,8,14,Offline,101.5,1
348,0,1,0,2018,2,24,Online,97.0,1
349,1,1,89,2018,8,15,Online,150.3,1
350,0,4,85,2018,3,29,Online,82.45,1
351,0,1,4,2018,7,1,Corporate,103.0,1
352,2,6,11,2018,7,5,Online,145.0,0
353,1,1,12,2018,7,11,Online,145.0,1
354,2,2,77,2018,5,14,Online,134.85,1
355,1,1,14,2018,10,22,Online,168.25,1
356,2,1,1,2018,2,28,Online,60.0,0
357,1,3,133,2018,6,13,Offline,76.0,1
358,1,2,3,2017,8,10,Offline,63.5,1
359,2,0,19,2018,9,18,Offline,95.0,1
360,2,2,86,2018,9,3,Offline,90.95,1
361,0,2,23,2017,10,16,Online,98.4,1
362,0,1,65,2018,9,22,Online,135.9,1
363,0,2,1,2018,11,16,Online,130.0,1
364,0,1,66,2017,11,19,Online,81.9,1
365,1,4,50,2018,2,22,Online,78.85,1
366,2,3,87,2018,6,26,Online,141.3,0
367,1,1,159,2018,4,9,Offline,70.0,1
368,2,3,39,2018,8,13,Online,170.1,1
369,2,0,386,2018,10,23,Online,115.0,0
370,0,5,22,2017,12,29,Online,199.0,1
371,2,2,102,2018,7,10,Offline,82.45,1
372,0,3,86,2018,10,20,Online,192.86,1
373,2,2,56,2017,9,25,Offline,185.0,1
374,2,6,36,2018,12,10,Online,68.07,1
375,0,3,50,2018,10,4,Online,118.8,1
376,0,2,115,2018,10,27,Online,104.4,0
377,0,1,0,2018,3,23,Corporate,65.0,1
378,1,3,35,2018,3,3,Online,71.1,0
379,2,1,17,2018,5,21,Offline,95.0,1
380,4,11,237,2018,9,13,Online,116.62,0
381,0,4,125,2018,9,7,Online,136.0,1
382,2,2,32,2018,12,2,Online,147.9,0
383,2,0,5,2018,9,18,Offline,123.7,1
384,2,1,91,2018,6,19,Online,135.9,0
385,0,2,102,2017,10,16,Offline,109.0,1
386,2,1,9,2018,3,20,Online,186.0,1
387,1,3,155,2018,12,26,Online,115.6,0
388,0,1,0,2018,5,14,Online,221.0,0
389,0,3,11,2017,9,15,Corporate,65.0,1
390,0,1,0,2018,2,19,Corporate,80.0,1
391,1,4,86,2018,3,23,Offline,73.83,1
392,0,1,18,2018,10,18,Corporate,67.0,1
393,0,2,58,2018,3,4,Online,80.3,1
394,2,1,54,2018,4,30,Offline,85.0,1
395,2,3,25,2018,7,23,Online,152.1,0
396,0,2,107,2017,9,9,Online,89.25,1
397,0,4,100,2018,9,28,Offline,110.0,1
398,1,2,273,2018,5,13,Online,95.0,0
399,0,1,29,2018,3,18,Online,79.0,1
400,0,1,221,2018,8,12,Online,80.0,0
401,2,2,213,2018,10,1,Online,102.85,0
402,1,2,198,2018,9,9,Online,90.0,0
403,1,2,81,2018,1,29,Online,62.37,1
404,0,1,23,2018,4,8,Online,98.0,1
405,0,3,26,2017,9,17,Online,117.67,0
406,2,1,20,2018,6,18,Online,141.0,1
407,1,3,124,2018,12,26,Online,156.61,0
408,0,3,85,2018,8,3,Online,152.1,0
409,0,1,167,2018,8,6,Online,105.3,0
410,1,3,71,2018,5,30,Online,119.85,1
411,0,2,48,2018,11,4,Online,97.2,1
412,0,1,37,2018,5,13,Online,116.1,1
413,2,2,76,2018,5,29,Online,150.45,0
414,0,1,13,2018,1,20,Offline,71.0,1
415,1,0,3,2018,6,27,Complementary,0.0,1
416,1,2,75,2017,12,7,Offline,60.0,1
417,0,1,5,2018,4,5,Corporate,89.0,1
418,2,0,386,2018,10,23,Online,115.0,0
419,1,1,180,2018,5,2,Offline,100.0,1
420,1,3,122,2018,11,14,Online,75.9,0
421,1,2,224,2017,10,2,Offline,65.0,1
422,2,2,24,2018,5,29,Online,104.55,1
423,2,2,162,2018,10,14,Online,115.0,0
424,1,1,25,2018,7,2,Online,187.0,0
425,0,1,1,2018,8,4,Online,115.0,1
426,0,4,236,2018,9,27,Online,84.43,0
427,2,3,120,2018,4,8,Online,90.95,0
428,1,3,12,2018,3,24,Online,208.0,1
429,2,4,224,2018,9,3,Online,97.18,0
430,0,4,33,2017,10,21,Offline,79.11,1
431,0,2,24,2018,5,13,Complementary,0.0,1
432,0,1,22,2017,9,8,Online,120.0,1
433,0,3,10,2017,10,20,Online,126.0,1
434,0,2,15,2018,2,16,Online,91.0,0
435,0,5,230,2018,9,6,Online,137.0,0
436,0,4,54,2018,3,16,Offline,67.32,1
437,0,1,45,2017,10,23,Online,81.62,1
438,1,3,63,2018,10,24,Online,123.66,1
439,2,1,166,2018,8,6,Online,94.5,1
440,1,4,148,2018,8,22,Online,96.3,0
441,2,1,136,2018,8,13,Online,88.01,1
442,1,3,37,2018,3,10,Online,81.9,1
443,0,4,66,2018,5,11,Online,119.85,1
444,0,1,11,2017,10,23,Offline,83.5,1
445,0,1,1,2018,4,1,Corporate,67.0,1
446,2,2,7,2018,6,19,Online,156.0,1
447,0,1,43,2017,10,13,Offline,85.0,1
448,3,5,5,2018,4,4,Online,126.75,0
449,1,1,247,2018,6,6,Online,115.0,0
450,2,1,24,2018,10,16,Online,107.1,0
451,0,1,53,2018,10,14,Offline,120.0,1
452,2,1,52,2018,11,19,Online,93.6,1
453,0,1,56,2018,6,8,Offline,120.0,1
454,0,1,12,2018,6,8,Offline,90.0,1
455,0,5,230,2018,9,6,Online,137.0,0
456,1,3,92,2018,10,31,Online,106.43,0
457,0,3,2,2018,5,31,Online,87.78,1
458,0,2,74,2017,9,18,Offline,101.5,1
459,0,1,82,2018,6,23,Online,85.5,0
460,0,3,37,2018,10,13,Offline,95.0,1
461,2,2,147,2018,7,1,Online,103.7,1
462,0,1,2,2017,8,26,Corporate,65.0,1
463,2,6,166,2018,8,18,Online,100.12,0
464,1,3,28,2018,4,11,Online,156.25,1
465,1,2,309,2018,5,13,Online,101.0,0
466,1,3,54,2018,7,4,Online,161.1,1
467,1,3,49,2018,12,8,Online,83.8,1
468,0,1,1,2018,6,18,Online,168.0,1
469,2,1,0,2017,12,27,Offline,58.0,1
470,2,1,4,2017,8,8,Offline,94.5,1
471,0,4,60,2017,12,9,Online,96.3,1
472,0,1,157,2017,8,14,Online,76.5,1
473,2,3,268,2018,4,8,Offline,78.0,1
474,1,1,38,2018,9,26,Online,112.59,0
475,2,1,30,2018,6,12,Online,187.04,0
476,0,1,2,2018,10,11,Online,169.0,1
477,3,7,217,2018,12,5,Online,46.63,1
478,0,3,143,2018,8,25,Offline,100.0,1
479,0,3,179,2018,10,19,Online,85.5,1
480,0,2,188,2018,6,15,Online,130.0,0
481,2,2,94,2018,7,8,Online,146.7,1
482,0,2,32,2017,11,20,Offline,73.0,1
483,2,2,2,2018,4,1,Online,143.22,1
484,0,3,70,2017,10,22,Online,89.25,1
485,1,0,4,2018,9,19,Offline,85.0,1
486,2,0,34,2018,2,28,Complementary,6.5,1
487,0,1,16,2018,3,8,Online,83.03,0
488,1,3,24,2018,2,11,Online,91.0,0
489,2,2,78,2018,4,10,Online,80.75,1
490,1,2,305,2018,11,4,Online,89.0,0
491,0,3,37,2018,10,13,Offline,105.0,1
492,2,5,98,2018,4,30,Online,109.81,1
493,1,3,14,2018,12,5,Online,70.88,1
494,0,2,44,2018,11,23,Online,83.6,1
495,2,1,1,2018,2,28,Online,60.0,0
496,0,3,213,2018,6,7,Online,130.0,0
497,1,1,5,2018,4,4,Online,95.0,1
498,0,1,55,2018,4,6,Offline,104.0,1
499,0,3,139,2018,2,11,Offline,62.0,1
500,2,1,44,2018,4,23,Offline,95.0,1
501,2,1,18,2018,2,28,Online,145.0,1
502,1,0,0,2018,10,17,Corporate,95.0,1
503,0,2,192,2018,6,24,Offline,95.0,1
504,2,4,152,2018,6,18,Offline,80.75,1
505,0,4,42,2018,8,30,Online,142.2,1
506,2,3,209,2018,10,21,Online,128.7,0
507,2,3,69,2018,3,20,Online,90.95,1
508,1,2,80,2018,11,18,Online,93.6,1
509,1,2,49,2017,11,9,Offline,60.0,1
510,0,3,143,2018,8,25,Offline,90.0,1
511,2,1,67,2017,12,5,Online,95.4,1
512,0,2,41,2018,10,21,Online,160.0,0
513,2,1,154,2018,10,30,Online,104.1,0
514,0,1,55,2018,4,6,Offline,104.0,1
515,0,4,2,2018,8,3,Offline,109.0,1
516,2,4,99,2018,4,10,Online,93.78,0
517,0,2,14,2017,10,14,Corporate,95.0,1
518,0,1,0,2018,10,15,Online,140.0,1
519,1,3,22,2017,12,24,Online,87.0,1
520,2,1,7,2018,3,5,Online,85.85,1
521,1,3,84,2018,3,24,Online,99.45,1
522,0,4,109,2018,5,4,Online,120.28,1
523,0,3,71,2018,6,14,Offline,120.0,1
524,2,0,4,2018,4,3,Online,77.77,1
525,0,3,71,2018,6,14,Offline,120.0,1
526,0,1,58,2018,6,10,Online,116.1,1
527,0,1,133,2018,7,23,Online,189.0,0
528,2,1,27,2018,6,26,Online,152.67,0
529,2,3,27,2018,2,4,Online,66.31,1
530,0,1,9,2017,9,10,Online,95.0,1
531,0,3,86,2018,12,8,Online,122.0,0
532,0,3,13,2017,12,17,Offline,58.0,1
533,1,3,0,2018,12,5,Online,89.89,1
534,0,2,5,2018,6,21,Online,156.0,1
535,1,3,82,2018,3,24,Online,99.45,1
536,0,2,330,2018,8,31,Online,172.8,0
537,1,3,3,2018,8,22,Online,98.56,1
538,0,1,35,2018,3,10,Online,71.1,0
539,6,15,12,2018,3,30,Online,128.06,0
540,0,1,0,2018,11,19,Complementary,0.0,1
541,0,1,7,2018,4,7,Online,106.0,1
542,0,4,47,2018,9,27,Online,130.61,0
543,2,3,117,2018,6,17,Online,105.74,1
544,0,2,2,2018,6,10,Online,136.0,1
545,0,1,26,2018,6,8,Offline,120.0,1
546,2,2,75,2018,12,2,Online,74.8,1
547,0,2,256,2018,6,15,Online,112.0,0
548,1,0,137,2018,8,21,Online,121.5,1
549,0,4,92,2017,10,7,Offline,70.0,1
550,0,1,1,2018,11,29,Offline,75.0,1
551,0,1,18,2018,1,2,Offline,54.0,1
552,1,2,78,2018,3,25,Online,100.0,0
553,0,1,8,2018,4,23,Complementary,0.0,1
554,4,9,30,2018,11,2,Online,186.22,0
555,2,0,117,2018,11,13,Online,79.2,1
556,1,1,10,2018,3,19,Online,103.0,1
557,2,2,56,2017,9,25,Offline,185.0,1
558,0,2,8,2017,10,20,Online,135.0,1
559,2,0,386,2018,10,23,Online,115.0,0
560,0,2,273,2017,7,17,Online,109.0,0
561,0,1,33,2018,11,26,Online,104.0,0
562,2,5,184,2018,8,3,Online,130.05,1
563,1,3,232,2018,9,5,Online,100.3,0
564,0,2,188,2018,6,15,Online,130.0,0
565,0,2,102,2017,10,16,Offline,109.0,1
566,2,2,45,2018,10,7,Online,139.5,0
567,0,1,1,2018,2,3,Corporate,66.0,1
568,2,2,63,2018,9,3,Online,106.88,1
569,2,2,89,2018,9,16,Online,149.4,1
